Date,zara,adidas,l-l-hawaiian-barbecue,braun-buffel,baskin-robbins,h-m,skin-food,topshop,sour-sally,maison-tatsuya,zara-home,sushi-tei,samsonite,cinema-xxi,chatime,haagen-dazs,pancious-pancake,grand-hyatt-jakarta
2016-01-05,0,0,0,0,0,0,0,2,0,3,0,0,1,0,5,1,0,0
2016-01-06,0,0,0,0,0,0,3,6,0,4,0,0,1,0,6,3,0,0
2016-01-07,0,0,2,0,0,0,1,13,0,9,0,0,8,0,4,3,0,0
2016-01-08,0,0,0,0,0,0,0,2,0,5,0,0,1,0,5,1,0,0
2016-01-09,0,0,6,0,0,0,4,10,0,7,0,0,6,0,9,3,0,0
2016-01-10,0,0,3,0,0,0,1,4,0,3,0,0,3,0,2,4,0,0
2016-01-11,0,0,11,0,0,0,1,20,0,18,0,0,11,0,12,10,0,0
2016-01-12,0,7,6,9,0,0,2,11,0,6,0,0,13,13,11,1,0,0
2016-01-13,0,0,12,0,0,0,2,23,0,7,0,0,8,0,16,3,0,0
2016-01-14,0,0,9,0,0,0,2,7,0,8,0,0,6,0,5,4,0,1
2016-01-15,0,0,2,0,0,0,1,8,0,4,0,0,3,0,7,0,0,0
2016-01-16,0,0,5,0,0,0,1,8,0,13,0,0,4,2,6,5,0,0
2016-01-17,0,0,6,0,0,0,1,10,0,4,0,0,4,0,6,4,0,0
2016-01-18,0,0,2,0,0,0,1,4,0,6,0,0,4,0,3,3,0,0
2016-01-19,0,0,1,0,0,0,1,4,0,2,0,0,0,0,2,3,0,0
2016-01-20,0,0,1,0,0,0,2,12,0,11,0,0,4,0,2,3,0,0
2016-01-21,0,0,2,0,0,0,2,6,0,5,0,0,6,0,4,2,0,0
2016-01-22,0,0,0,0,0,0,0,9,0,4,0,0,3,0,5,3,0,0
2016-01-23,0,0,4,0,0,0,1,4,0,3,0,0,2,0,4,0,0,0
2016-01-24,0,0,1,0,0,0,0,8,0,4,0,0,5,0,5,2,0,0
2016-01-25,0,0,4,0,0,6,2,5,5,8,1,4,6,0,7,4,0,0
2016-01-26,1,0,0,0,0,8,0,0,4,0,2,3,0,0,6,0,0,0
2016-01-27,3,0,0,0,0,6,0,0,6,0,0,2,0,0,4,0,0,0
2016-01-28,12,0,0,0,0,14,0,0,6,0,0,12,0,0,8,0,0,0
2016-01-29,3,0,0,0,0,7,0,0,4,0,0,6,0,0,2,0,0,0
2016-01-30,2,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0
2016-01-31,2,0,0,0,0,5,0,0,1,0,0,4,0,0,3,0,0,0
2016-02-01,11,0,0,0,0,20,0,0,2,0,0,8,0,1,6,0,1,0
2016-02-02,2,0,0,0,2,2,0,0,2,0,0,5,0,1,1,0,0,0
2016-02-03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
